country,individuals_using_internet%,GDP_current_US,access_to_electricity%,government_expenditure_on_education%,trade_in_services%,CO2_emisions,renewvable_energy_consumption%,rule_of_law_estimate,goverment_effectiveness_estimate,political_stability_estimate,population_density,gini_index,human_capital_index,year,internet_electricity_interaction,internet_usage_group
Lesotho,2.754720101875,2.30674159879677,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,71.4959486166008,46.5,0.39244267344474804,2017,67.93484247845987,True
Lesotho,2.754720101875,2.5562471555694497,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,72.3984519104084,46.5,0.39244267344474804,2018,67.93484247845987,True
Lesotho,2.754720101875,2.43602958761009,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,73.3103425559947,46.5,0.39244267344474804,2019,67.93484247845987,True
Lesotho,2.754720101875,2.11773652779886,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,74.2457180500659,46.5,0.39244267344474804,2020,67.93484247845987,True
Lesotho,2.754720101875,2.3734162685110696,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,33.54115460600585,46.5,0.39244267344474804,2021,67.93484247845987,True
Lesotho,1.11,2.5534597627992,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,33.54115460600585,46.5,0.39244267344474804,2022,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,33.54115460600585,46.5,0.39244267344474804,1960,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,39.3317034365719,46.5,0.39244267344474804,1961,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,40.2965103945694,46.5,0.39244267344474804,1962,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,41.2985574883326,46.5,0.39244267344474804,1963,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,42.3245757318625,46.5,0.39244267344474804,1964,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,43.3718392023759,46.5,0.39244267344474804,1965,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,44.4501909206619,46.5,0.39244267344474804,1966,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,45.563873568095,46.5,0.39244267344474804,1967,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,46.7058761137039,46.5,0.39244267344474804,1968,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,47.8665782774714,46.5,0.39244267344474804,1969,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,49.0574989393297,46.5,0.39244267344474804,1970,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,50.3020789138736,46.5,0.39244267344474804,1971,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,51.6119855748833,46.5,0.39244267344474804,1972,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,52.9936253712346,46.5,0.39244267344474804,1973,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,54.4569261773441,46.5,0.39244267344474804,1974,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,56.013629613916,46.5,0.39244267344474804,1975,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,57.6816504030547,46.5,0.39244267344474804,1976,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,59.5217649554518,46.5,0.39244267344474804,1977,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,61.6123249893933,46.5,0.39244267344474804,1978,27.373988050460824,False
Malawi,1.11,3.933060762015995,24.66125049591065,4.934684991836544,12.47603524776055,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,63.9492999575732,46.5,0.39244267344474804,1979,27.373988050460824,False
Malawi,1.11,1.8011575162304299,24.66125049591065,4.934684991836544,11.6769381280538,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,66.4761243105643,46.5,0.39244267344474804,1980,27.373988050460824,False
Malawi,1.11,1.80119374388288,24.66125049591065,4.934684991836544,10.5729411314956,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,69.1545502757743,46.5,0.39244267344474804,1981,27.373988050460824,False
Malawi,1.11,1.71737936042987,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,71.9595566397963,46.5,0.39244267344474804,1982,27.373988050460824,False
Malawi,1.11,1.7801475459585299,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,74.865475180314,46.5,0.39244267344474804,1983,27.373988050460824,False
Malawi,1.11,1.75802865674575,24.66125049591065,4.934684991836544,9.59447818336998,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,77.8426177344082,46.5,0.39244267344474804,1984,27.373988050460824,False
Malawi,1.11,1.6464425925845498,24.66125049591065,4.934684991836544,10.2777211536316,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,80.8769410267289,46.5,0.39244267344474804,1985,27.373988050460824,False
Malawi,1.11,1.72258599106697,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,83.8971043699618,46.5,0.39244267344474804,1986,27.373988050460824,False
Malawi,1.11,1.7217121982569599,24.66125049591065,4.934684991836544,9.98995769939639,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,87.9931374628765,46.5,0.39244267344474804,1987,27.373988050460824,False
Malawi,1.11,2.0081896389482,24.66125049591065,4.934684991836544,11.7680731980484,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,92.8593657191345,46.5,0.39244267344474804,1988,27.373988050460824,False
Malawi,1.11,2.3142049897220702,24.66125049591065,4.934684991836544,11.3120602578258,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,97.3153903266865,46.5,0.39244267344474804,1989,27.373988050460824,False
Malawi,0.0,2.7370881959445903,24.66125049591065,4.934684991836544,11.1457871940414,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,101.184397539245,46.5,0.39244267344474804,1990,0.0,False
Malawi,0.0,3.20678440238111,24.66125049591065,4.934684991836544,12.3175412065304,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,104.280695799745,46.5,0.39244267344474804,1991,0.0,False
Malawi,0.0,2.6188375321943798,24.66125049591065,4.934684991836544,14.0265460968672,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,107.291260076368,46.5,0.39244267344474804,1992,0.0,False
Malawi,0.0,3.01339242985585,24.66125049591065,4.934684991836544,9.62441571283209,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,108.795428510819,46.5,0.39244267344474804,1993,0.0,False
Malawi,0.0,1.7198647613062799,24.66125049591065,4.934684991836544,10.1050717659417,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,107.464987271956,46.5,0.39244267344474804,1994,0.0,False
Malawi,0.0,2.0337015423252,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,107.263640220619,46.5,0.39244267344474804,1995,0.0,False
Malawi,1.11,3.3195738218937603,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,109.360712770471,46.5,0.39244267344474804,1996,27.373988050460824,False
Malawi,0.004668518,3.8757858633832303,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,111.504857870174,46.5,0.39244267344474804,1997,0.1151314918426678,False
Malawi,0.018057365,2.54760956274027,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,113.835977938057,46.5,0.39244267344474804,1998,0.4453172015610896,False
Malawi,0.087278755,2.58447894360105,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,116.397496817989,46.5,0.39244267344474804,1999,2.152403240026214,False
Malawi,0.126780945,2.53730756612394,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,119.106777683496,46.5,0.39244267344474804,2000,3.126576642753271,False
Malawi,0.164020725,2.49800865313585,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,121.964552397115,46.5,0.39244267344474804,2001,4.044956185745875,False
Malawi,0.215094727,5.0873284378737,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,124.994675434875,46.5,0.39244267344474804,2002,5.304504942896516,False
Malawi,0.278815116,4.66978930035662,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,128.213459906661,46.5,0.39244267344474804,2003,6.875929417722385,False
Malawi,0.347505335,5.058726350488961,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,131.643423843869,46.5,0.39244267344474804,2004,8.569916115100348,False
Malawi,0.384489334,5.32040965147544,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,135.295375477302,46.5,0.39244267344474804,2005,9.481987778779857,False
Malawi,0.42513749,5.818279739143541,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,139.141991938905,46.5,0.39244267344474804,2006,10.484422136092709,False
Malawi,0.965864737,6.45121021911683,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,143.142373780229,46.5,0.39244267344474804,2007,23.819432224323858,False
Malawi,0.7,7.74361735221427,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,143.842887911945,46.5,0.39244267344474804,2008,17.262875347137452,False
Malawi,1.07,9.00988794682039,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,143.842887911945,46.5,0.39244267344474804,2009,26.3875380306244,False
Malawi,2.26,10.1283230106049,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,143.842887911945,46.5,0.39244267344474804,2010,55.734426120758066,True
Malawi,2.754720101875,11.648142958365101,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,143.842887911945,46.5,0.39244267344474804,2011,67.93484247845987,True
Malawi,2.754720101875,8.773203178165119,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,143.842887911945,46.5,0.39244267344474804,2012,67.93484247845987,True
Malawi,2.754720101875,8.03157192762055,24.66125049591065,4.934684991836544,9.574165824449313,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,143.842887911945,46.5,0.39244267344474804,2013,67.93484247845987,True
